epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,257.656,1.52516,1.40058,0.95,0.77567,0.616,0.68983,0.39458,1.37832,0.87134,0.88621,0.0099654,0.0033218,0.0099654,0.0033218,0.0099654,0.0033218,0.0099654,0.0033218
2,455.051,1.43293,0.69992,0.9166,0.78113,0.64905,0.69871,0.41905,1.30899,0.92197,0.87672,0.0197677,0.00658925,0.0197677,0.00658925,0.0197677,0.00658925,0.0197677,0.00658925
3,652.132,1.4338,0.69981,0.91352,0.76563,0.65899,0.65989,0.38794,1.36618,0.97577,0.89321,0.0293721,0.00979069,0.0293721,0.00979069,0.0293721,0.00979069,0.0293721,0.00979069
4,849.008,1.4066,0.68294,0.91339,0.77372,0.6901,0.70211,0.4505,1.17625,0.87003,0.86096,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1046.3,1.34748,0.64198,0.90094,0.78734,0.67976,0.70828,0.44913,1.19385,0.86605,0.86019,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1243.96,1.29747,0.60898,0.88882,0.77163,0.67932,0.69731,0.45183,1.15737,0.84499,0.85066,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1439.88,1.26169,0.59026,0.88173,0.80104,0.67635,0.72059,0.46804,1.15356,0.83025,0.85278,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1636.22,1.24311,0.57861,0.87848,0.80177,0.68833,0.72597,0.48782,1.08155,0.80639,0.84027,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1832.3,1.21721,0.56333,0.87302,0.78446,0.6934,0.71945,0.48012,1.08508,0.80979,0.84325,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2028.17,1.19368,0.55121,0.86979,0.8149,0.6881,0.72749,0.50112,1.02584,0.81152,0.83178,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2224.84,1.19264,0.54989,0.86941,0.79229,0.69018,0.72227,0.49444,1.04622,0.81916,0.83312,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2421.76,1.16856,0.53861,0.86641,0.80524,0.68853,0.72773,0.4997,1.03657,0.80255,0.83174,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2616.11,1.16107,0.53483,0.86395,0.8095,0.6893,0.71942,0.49982,1.01387,0.85093,0.82802,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2810.19,1.15482,0.52956,0.86202,0.81366,0.6971,0.74094,0.52254,0.96444,0.7705,0.82322,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,3003.73,1.12832,0.51808,0.85651,0.81217,0.70044,0.7332,0.52583,0.94071,0.79332,0.81932,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,3197.77,1.1233,0.51472,0.85602,0.79747,0.70831,0.73378,0.51979,0.96194,0.77429,0.82286,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,3392.22,1.11368,0.51055,0.85648,0.80191,0.70223,0.73707,0.51472,0.98591,0.77877,0.82376,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,3588.35,1.12209,0.51271,0.85617,0.81332,0.6976,0.74453,0.53284,0.9366,0.76497,0.81729,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,3784.17,1.09615,0.5029,0.853,0.81453,0.70344,0.73257,0.52186,0.94456,0.78712,0.81861,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,3979.91,1.089,0.49817,0.85105,0.8013,0.7103,0.72973,0.52807,0.92018,0.77873,0.81435,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,4176.51,1.07034,0.49033,0.8494,0.81097,0.70668,0.73955,0.53217,0.92408,0.77328,0.81564,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,4372.6,1.07586,0.49181,0.84836,0.80961,0.7128,0.73676,0.54224,0.89038,0.77379,0.81085,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,4568.09,1.08338,0.49442,0.84792,0.81362,0.70591,0.73445,0.53465,0.91568,0.77951,0.81331,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,4764.7,1.0698,0.48771,0.84956,0.81521,0.70927,0.73952,0.55021,0.85901,0.76495,0.8065,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,4960.54,1.07079,0.48802,0.84856,0.81548,0.70803,0.73715,0.5438,0.88249,0.76757,0.80998,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,5156.72,1.05249,0.48026,0.84481,0.8238,0.706,0.73603,0.54943,0.85458,0.77184,0.80605,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,5352.39,1.04542,0.47844,0.84295,0.8197,0.70972,0.73877,0.55055,0.85927,0.76283,0.80642,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,5548.21,1.04447,0.47543,0.84408,0.82542,0.706,0.73839,0.54963,0.85798,0.7731,0.80606,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,5743.73,1.04608,0.47592,0.84451,0.8206,0.70716,0.73752,0.5524,0.852,0.75684,0.80565,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,5940.39,1.03559,0.47283,0.84465,0.82295,0.70855,0.74217,0.55645,0.84074,0.756,0.8053,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,6136.68,1.0324,0.47142,0.84268,0.82101,0.71193,0.74056,0.56081,0.8279,0.76383,0.80275,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,6332.88,1.0343,0.47001,0.84231,0.82248,0.71095,0.74204,0.5555,0.84319,0.75586,0.80415,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,6528.98,1.02668,0.46724,0.84082,0.81966,0.71396,0.73836,0.55913,0.82424,0.75538,0.80209,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,6724.24,1.01244,0.46161,0.83893,0.82286,0.71312,0.73843,0.56226,0.81595,0.76126,0.80106,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,6920.06,1.02155,0.46512,0.84057,0.82331,0.71344,0.7421,0.56537,0.80712,0.75579,0.80054,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,7116.64,1.01231,0.46311,0.84002,0.82599,0.71156,0.74181,0.56447,0.81185,0.7573,0.79984,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,7312.55,1.00613,0.45904,0.83906,0.82492,0.7114,0.74143,0.56509,0.81112,0.75337,0.80059,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,7508.33,1.01012,0.46091,0.83769,0.8224,0.71181,0.74183,0.56729,0.79828,0.74743,0.79858,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,7704.35,0.99996,0.45616,0.83821,0.82232,0.7141,0.73926,0.56714,0.79947,0.75652,0.79849,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,7898.95,0.98947,0.45222,0.83572,0.82136,0.71655,0.74177,0.56926,0.7937,0.75097,0.79793,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,8093.85,0.99077,0.45224,0.83584,0.82042,0.71606,0.7417,0.57101,0.78784,0.7516,0.79701,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,8287.36,0.9883,0.45198,0.83493,0.8234,0.71512,0.74188,0.57032,0.79117,0.75325,0.79746,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,8481.45,0.97889,0.44701,0.83484,0.82438,0.71508,0.74224,0.57158,0.78789,0.75399,0.797,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,8675.29,0.97867,0.44722,0.83302,0.82668,0.71428,0.74324,0.57295,0.78586,0.75691,0.79684,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,8869.16,0.98083,0.44661,0.83258,0.82761,0.71313,0.7412,0.57286,0.78331,0.75726,0.79683,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,9063.52,0.96684,0.44049,0.83227,0.82753,0.71326,0.74057,0.57172,0.78627,0.76299,0.79663,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,9257.55,0.96284,0.43943,0.83157,0.82836,0.71337,0.74052,0.57318,0.78115,0.76097,0.79587,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,9451.15,0.95341,0.43589,0.83213,0.82959,0.71239,0.74056,0.57363,0.77904,0.75926,0.79582,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,9644.99,0.97069,0.44235,0.83185,0.83071,0.71231,0.74064,0.57453,0.77577,0.75761,0.7955,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,9838.44,0.96427,0.43798,0.82998,0.83065,0.71304,0.74075,0.57434,0.77548,0.75733,0.79541,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,10032.4,0.95257,0.43455,0.82932,0.83025,0.71376,0.74096,0.57635,0.77163,0.7572,0.79477,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,10227.1,0.94159,0.4312,0.82861,0.83132,0.71284,0.7409,0.57709,0.77012,0.75605,0.79445,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,10420.5,0.9353,0.42649,0.82687,0.83048,0.7137,0.74119,0.57769,0.76823,0.75597,0.7942,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,10614.6,0.93504,0.42677,0.82792,0.82986,0.71444,0.74137,0.57783,0.76656,0.75527,0.79406,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,10807.8,0.93816,0.42861,0.82827,0.82909,0.71529,0.74132,0.5778,0.76532,0.75625,0.7939,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,11001.9,0.93422,0.4249,0.82548,0.82836,0.7157,0.74136,0.57848,0.76394,0.75685,0.79371,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
